venvadmin@Vics-MacBook-Air write-a-book % chmod +x scripts/*.sh     
venvadmin@Vics-MacBook-Air write-a-book % ./scripts/auto_fix_code.sh
[2024-12-21 12:51:13] Fixing file: ./tests/test_template.py
[2024-12-21 12:51:13] Fixing file: ./tests/test_settings.py
[2024-12-21 12:51:13] Fixing file: ./streamlit_app.py
[2024-12-21 12:51:14] Fixing file: ./docs/proj_status.md
[2024-12-21 12:51:14] Fixing file: ./docs/implementation_plan.md
[2024-12-21 12:51:14] Fixing file: ./README.md
[2024-12-21 12:51:14] Fixing file: ./setup.py
[2024-12-21 12:51:14] Fixing file: ./logs/auto_fix.log.md
[2024-12-21 12:51:14] Fixing file: ./src/__init__.py
[2024-12-21 12:51:14] Fixing file: ./src/utils/__init__.py
[2024-12-21 12:51:15] Fixing file: ./src/models/__init__.py
[2024-12-21 12:51:15] Fixing file: ./src/models/book.py
[2024-12-21 12:51:15] Fixing file: ./src/components/__init__.py
[2024-12-21 12:51:16] Fixing file: ./src/components/text_editor.py
[2024-12-21 12:51:16] Fixing file: ./src/components/editor.py
[2024-12-21 12:51:16] Fixing file: ./src/book_editor/core/__init__.py
[2024-12-21 12:51:17] Fixing file: ./src/book_editor/core/template.py
[2024-12-21 12:51:17] Fixing file: ./src/book_editor/core/editor.py
[2024-12-21 12:51:17] Fixing file: ./src/book_editor/app/core/__init__.py
[2024-12-21 12:51:18] Fixing file: ./src/book_editor/app/core/editor.py
[2024-12-21 12:51:18] Fixing file: ./src/book_editor/app/config/__init__.py
[2024-12-21 12:51:18] Fixing file: ./src/book_editor/app/config/settings.py
[2024-12-21 12:51:18] Fixing file: ./src/book_editor/app/__init__.py
[2024-12-21 12:51:19] Fixing file: ./src/book_editor/config/__init__.py
[2024-12-21 12:51:19] Fixing file: ./src/book_editor/config/settings.py
[2024-12-21 12:51:19] Fixing file: ./src/book_editor/__init__.py
[2024-12-21 12:51:20] Fixing file: ./src/book_editor/types.py
[2024-12-21 12:51:20] Fixing file: ./src/book_editor/docs/changelog.md
[2024-12-21 12:51:20] Fixing file: ./src/book_editor/docs/proj_status.md
[2024-12-21 12:51:20] Fixing file: ./src/book_editor/README.md
[2024-12-21 12:51:20] Fixing file: ./src/book_editor/main.py
[2024-12-21 12:51:20] Fixing file: ./src/data/__init__.py
[2024-12-21 12:51:21] Fixing file: ./src/data/storage.py
[2024-12-21 12:51:21] Found error patterns:
[2024-12-21 12:51:21] Starting verify fix iteration 3...
[2024-12-21 12:51:21] Fixing file: ./agent_directives.md
[2024-12-21 12:51:21] Fixing file: ./tests/test_components.py
[2024-12-21 12:51:21] Fixing file: ./tests/test_app_config.py
[2024-12-21 12:51:22] Fixing file: ./tests/test_core_editor_extended.py
[2024-12-21 12:51:22] Fixing file: ./tests/test_editor.py
[2024-12-21 12:51:22] Fixing file: ./tests/test_app_core.py
[2024-12-21 12:51:23] Fixing file: ./tests/test_text_editor_extended.py
[2024-12-21 12:51:23] Fixing file: ./tests/__init__.py
[2024-12-21 12:51:23] Fixing file: ./tests/test_book.py
[2024-12-21 12:51:23] Fixing file: ./tests/test_storage.py
[2024-12-21 12:51:24] Fixing file: ./tests/test_app_core_editor.py
[2024-12-21 12:51:24] Fixing file: ./tests/test_main.py
[2024-12-21 12:51:24] Fixing file: ./tests/test_core_editor.py
[2024-12-21 12:51:25] Fixing file: ./tests/test_template.py
[2024-12-21 12:51:25] Fixing file: ./tests/test_settings.py
[2024-12-21 12:51:25] Fixing file: ./streamlit_app.py
[2024-12-21 12:51:26] Fixing file: ./docs/proj_status.md
[2024-12-21 12:51:26] Fixing file: ./docs/implementation_plan.md
[2024-12-21 12:51:26] Fixing file: ./README.md
[2024-12-21 12:51:26] Fixing file: ./setup.py
[2024-12-21 12:51:26] Fixing file: ./logs/auto_fix.log.md
[2024-12-21 12:51:26] Fixing file: ./src/__init__.py
[2024-12-21 12:51:26] Fixing file: ./src/utils/__init__.py
[2024-12-21 12:51:26] Fixing file: ./src/models/__init__.py
[2024-12-21 12:51:27] Fixing file: ./src/models/book.py
[2024-12-21 12:51:27] Fixing file: ./src/components/__init__.py
[2024-12-21 12:51:27] Fixing file: ./src/components/text_editor.py
[2024-12-21 12:51:28] Fixing file: ./src/components/editor.py
[2024-12-21 12:51:28] Fixing file: ./src/book_editor/core/__init__.py
[2024-12-21 12:51:28] Fixing file: ./src/book_editor/core/template.py
[2024-12-21 12:51:29] Fixing file: ./src/book_editor/core/editor.py
[2024-12-21 12:51:29] Fixing file: ./src/book_editor/app/core/__init__.py
[2024-12-21 12:51:29] Fixing file: ./src/book_editor/app/core/editor.py
[2024-12-21 12:51:29] Fixing file: ./src/book_editor/app/config/__init__.py
[2024-12-21 12:51:30] Fixing file: ./src/book_editor/app/config/settings.py
[2024-12-21 12:51:30] Fixing file: ./src/book_editor/app/__init__.py
[2024-12-21 12:51:30] Fixing file: ./src/book_editor/config/__init__.py
[2024-12-21 12:51:31] Fixing file: ./src/book_editor/config/settings.py
[2024-12-21 12:51:31] Fixing file: ./src/book_editor/__init__.py
[2024-12-21 12:51:31] Fixing file: ./src/book_editor/types.py
[2024-12-21 12:51:32] Fixing file: ./src/book_editor/docs/changelog.md
[2024-12-21 12:51:32] Fixing file: ./src/book_editor/docs/proj_status.md
[2024-12-21 12:51:32] Fixing file: ./src/book_editor/README.md
[2024-12-21 12:51:32] Fixing file: ./src/book_editor/main.py
[2024-12-21 12:51:32] Fixing file: ./src/data/__init__.py
[2024-12-21 12:51:32] Fixing file: ./src/data/storage.py
[2024-12-21 12:51:32] Found error patterns:
[2024-12-21 12:51:38] Initial error count: 0
[2024-12-21 12:51:38] Starting fix iteration 1...
[2024-12-21 12:51:38] Detecting error patterns...
[2024-12-21 12:51:44] Detected        0 unique error patterns
[2024-12-21 12:51:44] Fixing file: ./agent_directives.md
[2024-12-21 12:51:44] Fixing file: ./tests/test_components.py
[2024-12-21 12:51:44] Fixing file: ./tests/test_app_config.py
[2024-12-21 12:51:45] Fixing file: ./tests/test_core_editor_extended.py
[2024-12-21 12:51:45] Fixing file: ./tests/test_editor.py
[2024-12-21 12:51:45] Fixing file: ./tests/test_app_core.py
[2024-12-21 12:51:45] Fixing file: ./tests/test_text_editor_extended.py
[2024-12-21 12:51:46] Fixing file: ./tests/__init__.py
[2024-12-21 12:51:46] Fixing file: ./tests/test_book.py
[2024-12-21 12:51:47] Fixing file: ./tests/test_storage.py
[2024-12-21 12:51:47] Fixing file: ./tests/test_app_core_editor.py
[2024-12-21 12:51:47] Fixing file: ./tests/test_main.py
[2024-12-21 12:51:47] Fixing file: ./tests/test_core_editor.py
[2024-12-21 12:51:48] Fixing file: ./tests/test_template.py
[2024-12-21 12:51:48] Fixing file: ./tests/test_settings.py
[2024-12-21 12:51:48] Fixing file: ./streamlit_app.py
[2024-12-21 12:51:49] Fixing file: ./docs/proj_status.md
[2024-12-21 12:51:49] Fixing file: ./docs/implementation_plan.md
[2024-12-21 12:51:49] Fixing file: ./README.md
[2024-12-21 12:51:49] Fixing file: ./setup.py
[2024-12-21 12:51:49] Fixing file: ./logs/auto_fix.log.md
[2024-12-21 12:51:49] Fixing file: ./src/__init__.py
[2024-12-21 12:51:49] Fixing file: ./src/utils/__init__.py
[2024-12-21 12:51:50] Fixing file: ./src/models/__init__.py
[2024-12-21 12:51:50] Fixing file: ./src/models/book.py
[2024-12-21 12:51:50] Fixing file: ./src/components/__init__.py
[2024-12-21 12:51:51] Fixing file: ./src/components/text_editor.py
[2024-12-21 12:51:51] Fixing file: ./src/components/editor.py
[2024-12-21 12:51:51] Fixing file: ./src/book_editor/core/__init__.py
[2024-12-21 12:51:51] Fixing file: ./src/book_editor/core/template.py
[2024-12-21 12:51:52] Fixing file: ./src/book_editor/core/editor.py
[2024-12-21 12:51:52] Fixing file: ./src/book_editor/app/core/__init__.py
[2024-12-21 12:51:52] Fixing file: ./src/book_editor/app/core/editor.py
[2024-12-21 12:51:53] Fixing file: ./src/book_editor/app/config/__init__.py
[2024-12-21 12:51:53] Fixing file: ./src/book_editor/app/config/settings.py
[2024-12-21 12:51:53] Fixing file: ./src/book_editor/app/__init__.py
[2024-12-21 12:51:53] Fixing file: ./src/book_editor/config/__init__.py
[2024-12-21 12:51:54] Fixing file: ./src/book_editor/config/settings.py
[2024-12-21 12:51:54] Fixing file: ./src/book_editor/__init__.py
[2024-12-21 12:51:54] Fixing file: ./src/book_editor/types.py
[2024-12-21 12:51:55] Fixing file: ./src/book_editor/docs/changelog.md
[2024-12-21 12:51:55] Fixing file: ./src/book_editor/docs/proj_status.md
[2024-12-21 12:51:55] Fixing file: ./src/book_editor/README.md
[2024-12-21 12:51:55] Fixing file: ./src/book_editor/main.py
[2024-12-21 12:51:55] Fixing file: ./src/data/__init__.py
[2024-12-21 12:51:55] Fixing file: ./src/data/storage.py
[2024-12-21 12:52:01] Errors after iteration 1: 0 (fixed 0)
[2024-12-21 12:52:01] All issues resolved in iteration 1
[2024-12-21 12:52:01] All fixes completed successfully!
venvadmin@Vics-MacBook-Air write-a-book % 


— Linter Errors —
[{
	"resource": "/Users/admin/cursor/write-a-book/agent_directives.md",
	"owner": "markdownlint",
	"code": {
		"value": "MD022",
		"target": {
			"$mid": 1,
			"path": "/DavidAnson/markdownlint/blob/v0.36.1/doc/md022.md",
			"scheme": "https",
			"authority": "github.com"
		}
	},
	"severity": 4,
	"message": "MD022/blanks-around-headings: Headings should be surrounded by blank lines [Expected: 1; Actual: 0; Below]",
	"source": "markdownlint",
	"startLineNumber": 3,
	"startColumn": 1,
	"endLineNumber": 3,
	"endColumn": 2
},{
	"resource": "/Users/admin/cursor/write-a-book/agent_directives.md",
	"owner": "markdownlint",
	"code": {
		"value": "MD025",
		"target": {
			"$mid": 1,
			"path": "/DavidAnson/markdownlint/blob/v0.36.1/doc/md025.md",
			"scheme": "https",
			"authority": "github.com"
		}
	},
	"severity": 4,
	"message": "MD025/single-title/single-h1: Multiple top-level headings in the same document",
	"source": "markdownlint",
	"startLineNumber": 3,
	"startColumn": 1,
	"endLineNumber": 3,
	"endColumn": 2
},{
	"resource": "/Users/admin/cursor/write-a-book/agent_directives.md",
	"owner": "markdownlint",
	"code": {
		"value": "MD022",
		"target": {
			"$mid": 1,
			"path": "/DavidAnson/markdownlint/blob/v0.36.1/doc/md022.md",
			"scheme": "https",
			"authority": "github.com"
		}
	},
	"severity": 4,
	"message": "MD022/blanks-around-headings: Headings should be surrounded by blank lines [Expected: 1; Actual: 0; Above]",
	"source": "markdownlint",
	"startLineNumber": 4,
	"startColumn": 1,
	"endLineNumber": 4,
	"endColumn": 24
},{
	"resource": "/Users/admin/cursor/write-a-book/agent_directives.md",
	"owner": "markdownlint",
	"code": {
		"value": "MD022",
		"target": {
			"$mid": 1,
			"path": "/DavidAnson/markdownlint/blob/v0.36.1/doc/md022.md",
			"scheme": "https",
			"authority": "github.com"
		}
	},
	"severity": 4,
	"message": "MD022/blanks-around-headings: Headings should be surrounded by blank lines [Expected: 1; Actual: 0; Below]",
	"source": "markdownlint",
	"startLineNumber": 4,
	"startColumn": 1,
	"endLineNumber": 4,
	"endColumn": 24
},{
	"resource": "/Users/admin/cursor/write-a-book/agent_directives.md",
	"owner": "markdownlint",
	"code": {
		"value": "MD025",
		"target": {
			"$mid": 1,
			"path": "/DavidAnson/markdownlint/blob/v0.36.1/doc/md025.md",
			"scheme": "https",
			"authority": "github.com"
		}
	},
	"severity": 4,
	"message": "MD025/single-title/single-h1: Multiple top-level headings in the same document",
	"source": "markdownlint",
	"startLineNumber": 4,
	"startColumn": 1,
	"endLineNumber": 4,
	"endColumn": 24
},{
	"resource": "/Users/admin/cursor/write-a-book/agent_directives.md",
	"owner": "markdownlint",
	"code": {
		"value": "MD032",
		"target": {
			"$mid": 1,
			"path": "/DavidAnson/markdownlint/blob/v0.36.1/doc/md032.md",
			"scheme": "https",
			"authority": "github.com"
		}
	},
	"severity": 4,
	"message": "MD032/blanks-around-lists: Lists should be surrounded by blank lines",
	"source": "markdownlint",
	"startLineNumber": 5,
	"startColumn": 1,
	"endLineNumber": 5,
	"endColumn": 102
},{
	"resource": "/Users/admin/cursor/write-a-book/agent_directives.md",
	"owner": "markdownlint",
	"code": {
		"value": "MD032",
		"target": {
			"$mid": 1,
			"path": "/DavidAnson/markdownlint/blob/v0.36.1/doc/md032.md",
			"scheme": "https",
			"authority": "github.com"
		}
	},
	"severity": 4,
	"message": "MD032/blanks-around-lists: Lists should be surrounded by blank lines",
	"source": "markdownlint",
	"startLineNumber": 8,
	"startColumn": 1,
	"endLineNumber": 8,
	"endColumn": 88
},{
	"resource": "/Users/admin/cursor/write-a-book/agent_directives.md",
	"owner": "markdownlint",
	"code": {
		"value": "MD022",
		"target": {
			"$mid": 1,
			"path": "/DavidAnson/markdownlint/blob/v0.36.1/doc/md022.md",
			"scheme": "https",
			"authority": "github.com"
		}
	},
	"severity": 4,
	"message": "MD022/blanks-around-headings: Headings should be surrounded by blank lines [Expected: 1; Actual: 0; Above]",
	"source": "markdownlint",
	"startLineNumber": 9,
	"startColumn": 1,
	"endLineNumber": 9,
	"endColumn": 20
},{
	"resource": "/Users/admin/cursor/write-a-book/agent_directives.md",
	"owner": "markdownlint",
	"code": {
		"value": "MD022",
		"target": {
			"$mid": 1,
			"path": "/DavidAnson/markdownlint/blob/v0.36.1/doc/md022.md",
			"scheme": "https",
			"authority": "github.com"
		}
	},
	"severity": 4,
	"message": "MD022/blanks-around-headings: Headings should be surrounded by blank lines [Expected: 1; Actual: 0; Below]",
	"source": "markdownlint",
	"startLineNumber": 9,
	"startColumn": 1,
	"endLineNumber": 9,
	"endColumn": 20
},{
	"resource": "/Users/admin/cursor/write-a-book/agent_directives.md",
	"owner": "markdownlint",
	"code": {
		"value": "MD025",
		"target": {
			"$mid": 1,
			"path": "/DavidAnson/markdownlint/blob/v0.36.1/doc/md025.md",
			"scheme": "https",
			"authority": "github.com"
		}
	},
	"severity": 4,
	"message": "MD025/single-title/single-h1: Multiple top-level headings in the same document",
	"source": "markdownlint",
	"startLineNumber": 9,
	"startColumn": 1,
	"endLineNumber": 9,
	"endColumn": 20
},{
	"resource": "/Users/admin/cursor/write-a-book/agent_directives.md",
	"owner": "markdownlint",
	"code": {
		"value": "MD032",
		"target": {
			"$mid": 1,
			"path": "/DavidAnson/markdownlint/blob/v0.36.1/doc/md032.md",
			"scheme": "https",
			"authority": "github.com"
		}
	},
	"severity": 4,
	"message": "MD032/blanks-around-lists: Lists should be surrounded by blank lines",
	"source": "markdownlint",
	"startLineNumber": 11,
	"startColumn": 1,
	"endLineNumber": 11,
	"endColumn": 68
},{
	"resource": "/Users/admin/cursor/write-a-book/agent_directives.md",
	"owner": "markdownlint",
	"code": {
		"value": "MD032",
		"target": {
			"$mid": 1,
			"path": "/DavidAnson/markdownlint/blob/v0.36.1/doc/md032.md",
			"scheme": "https",
			"authority": "github.com"
		}
	},
	"severity": 4,
	"message": "MD032/blanks-around-lists: Lists should be surrounded by blank lines",
	"source": "markdownlint",
	"startLineNumber": 13,
	"startColumn": 1,
	"endLineNumber": 13,
	"endColumn": 54
},{
	"resource": "/Users/admin/cursor/write-a-book/agent_directives.md",
	"owner": "markdownlint",
	"code": {
		"value": "MD022",
		"target": {
			"$mid": 1,
			"path": "/DavidAnson/markdownlint/blob/v0.36.1/doc/md022.md",
			"scheme": "https",
			"authority": "github.com"
		}
	},
	"severity": 4,
	"message": "MD022/blanks-around-headings: Headings should be surrounded by blank lines [Expected: 1; Actual: 0; Above]",
	"source": "markdownlint",
	"startLineNumber": 14,
	"startColumn": 1,
	"endLineNumber": 14,
	"endColumn": 22
},{
	"resource": "/Users/admin/cursor/write-a-book/agent_directives.md",
	"owner": "markdownlint",
	"code": {
		"value": "MD022",
		"target": {
			"$mid": 1,
			"path": "/DavidAnson/markdownlint/blob/v0.36.1/doc/md022.md",
			"scheme": "https",
			"authority": "github.com"
		}
	},
	"severity": 4,
	"message": "MD022/blanks-around-headings: Headings should be surrounded by blank lines [Expected: 1; Actual: 0; Below]",
	"source": "markdownlint",
	"startLineNumber": 14,
	"startColumn": 1,
	"endLineNumber": 14,
	"endColumn": 22
},{
	"resource": "/Users/admin/cursor/write-a-book/agent_directives.md",
	"owner": "markdownlint",
	"code": {
		"value": "MD025",
		"target": {
			"$mid": 1,
			"path": "/DavidAnson/markdownlint/blob/v0.36.1/doc/md025.md",
			"scheme": "https",
			"authority": "github.com"
		}
	},
	"severity": 4,
	"message": "MD025/single-title/single-h1: Multiple top-level headings in the same document",
	"source": "markdownlint",
	"startLineNumber": 14,
	"startColumn": 1,
	"endLineNumber": 14,
	"endColumn": 22
},{
	"resource": "/Users/admin/cursor/write-a-book/agent_directives.md",
	"owner": "markdownlint",
	"code": {
		"value": "MD032",
		"target": {
			"$mid": 1,
			"path": "/DavidAnson/markdownlint/blob/v0.36.1/doc/md032.md",
			"scheme": "https",
			"authority": "github.com"
		}
	},
	"severity": 4,
	"message": "MD032/blanks-around-lists: Lists should be surrounded by blank lines",
	"source": "markdownlint",
	"startLineNumber": 15,
	"startColumn": 1,
	"endLineNumber": 15,
	"endColumn": 80
},{
	"resource": "/Users/admin/cursor/write-a-book/agent_directives.md",
	"owner": "markdownlint",
	"code": {
		"value": "MD032",
		"target": {
			"$mid": 1,
			"path": "/DavidAnson/markdownlint/blob/v0.36.1/doc/md032.md",
			"scheme": "https",
			"authority": "github.com"
		}
	},
	"severity": 4,
	"message": "MD032/blanks-around-lists: Lists should be surrounded by blank lines",
	"source": "markdownlint",
	"startLineNumber": 15,
	"startColumn": 1,
	"endLineNumber": 15,
	"endColumn": 80
},{
	"resource": "/Users/admin/cursor/write-a-book/agent_directives.md",
	"owner": "markdownlint",
	"code": {
		"value": "MD022",
		"target": {
			"$mid": 1,
			"path": "/DavidAnson/markdownlint/blob/v0.36.1/doc/md022.md",
			"scheme": "https",
			"authority": "github.com"
		}
	},
	"severity": 4,
	"message": "MD022/blanks-around-headings: Headings should be surrounded by blank lines [Expected: 1; Actual: 0; Above]",
	"source": "markdownlint",
	"startLineNumber": 16,
	"startColumn": 1,
	"endLineNumber": 16,
	"endColumn": 30
},{
	"resource": "/Users/admin/cursor/write-a-book/agent_directives.md",
	"owner": "markdownlint",
	"code": {
		"value": "MD022",
		"target": {
			"$mid": 1,
			"path": "/DavidAnson/markdownlint/blob/v0.36.1/doc/md022.md",
			"scheme": "https",
			"authority": "github.com"
		}
	},
	"severity": 4,
	"message": "MD022/blanks-around-headings: Headings should be surrounded by blank lines [Expected: 1; Actual: 0; Below]",
	"source": "markdownlint",
	"startLineNumber": 16,
	"startColumn": 1,
	"endLineNumber": 16,
	"endColumn": 30
},{
	"resource": "/Users/admin/cursor/write-a-book/agent_directives.md",
	"owner": "markdownlint",
	"code": {
		"value": "MD025",
		"target": {
			"$mid": 1,
			"path": "/DavidAnson/markdownlint/blob/v0.36.1/doc/md025.md",
			"scheme": "https",
			"authority": "github.com"
		}
	},
	"severity": 4,
	"message": "MD025/single-title/single-h1: Multiple top-level headings in the same document",
	"source": "markdownlint",
	"startLineNumber": 16,
	"startColumn": 1,
	"endLineNumber": 16,
	"endColumn": 30
},{
	"resource": "/Users/admin/cursor/write-a-book/agent_directives.md",
	"owner": "markdownlint",
	"code": {
		"value": "MD032",
		"target": {
			"$mid": 1,
			"path": "/DavidAnson/markdownlint/blob/v0.36.1/doc/md032.md",
			"scheme": "https",
			"authority": "github.com"
		}
	},
	"severity": 4,
	"message": "MD032/blanks-around-lists: Lists should be surrounded by blank lines",
	"source": "markdownlint",
	"startLineNumber": 17,
	"startColumn": 1,
	"endLineNumber": 17,
	"endColumn": 56
},{
	"resource": "/Users/admin/cursor/write-a-book/agent_directives.md",
	"owner": "markdownlint",
	"code": {
		"value": "MD032",
		"target": {
			"$mid": 1,
			"path": "/DavidAnson/markdownlint/blob/v0.36.1/doc/md032.md",
			"scheme": "https",
			"authority": "github.com"
		}
	},
	"severity": 4,
	"message": "MD032/blanks-around-lists: Lists should be surrounded by blank lines",
	"source": "markdownlint",
	"startLineNumber": 19,
	"startColumn": 1,
	"endLineNumber": 19,
	"endColumn": 80
},{
	"resource": "/Users/admin/cursor/write-a-book/agent_directives.md",
	"owner": "markdownlint",
	"code": {
		"value": "MD022",
		"target": {
			"$mid": 1,
			"path": "/DavidAnson/markdownlint/blob/v0.36.1/doc/md022.md",
			"scheme": "https",
			"authority": "github.com"
		}
	},
	"severity": 4,
	"message": "MD022/blanks-around-headings: Headings should be surrounded by blank lines [Expected: 1; Actual: 0; Above]",
	"source": "markdownlint",
	"startLineNumber": 20,
	"startColumn": 1,
	"endLineNumber": 20,
	"endColumn": 28
},{
	"resource": "/Users/admin/cursor/write-a-book/agent_directives.md",
	"owner": "markdownlint",
	"code": {
		"value": "MD022",
		"target": {
			"$mid": 1,
			"path": "/DavidAnson/markdownlint/blob/v0.36.1/doc/md022.md",
			"scheme": "https",
			"authority": "github.com"
		}
	},
	"severity": 4,
	"message": "MD022/blanks-around-headings: Headings should be surrounded by blank lines [Expected: 1; Actual: 0; Below]",
	"source": "markdownlint",
	"startLineNumber": 20,
	"startColumn": 1,
	"endLineNumber": 20,
	"endColumn": 28
},{
	"resource": "/Users/admin/cursor/write-a-book/agent_directives.md",
	"owner": "markdownlint",
	"code": {
		"value": "MD025",
		"target": {
			"$mid": 1,
			"path": "/DavidAnson/markdownlint/blob/v0.36.1/doc/md025.md",
			"scheme": "https",
			"authority": "github.com"
		}
	},
	"severity": 4,
	"message": "MD025/single-title/single-h1: Multiple top-level headings in the same document",
	"source": "markdownlint",
	"startLineNumber": 20,
	"startColumn": 1,
	"endLineNumber": 20,
	"endColumn": 28
},{
	"resource": "/Users/admin/cursor/write-a-book/agent_directives.md",
	"owner": "markdownlint",
	"code": {
		"value": "MD032",
		"target": {
			"$mid": 1,
			"path": "/DavidAnson/markdownlint/blob/v0.36.1/doc/md032.md",
			"scheme": "https",
			"authority": "github.com"
		}
	},
	"severity": 4,
	"message": "MD032/blanks-around-lists: Lists should be surrounded by blank lines",
	"source": "markdownlint",
	"startLineNumber": 21,
	"startColumn": 1,
	"endLineNumber": 21,
	"endColumn": 54
},{
	"resource": "/Users/admin/cursor/write-a-book/agent_directives.md",
	"owner": "markdownlint",
	"code": {
		"value": "MD032",
		"target": {
			"$mid": 1,
			"path": "/DavidAnson/markdownlint/blob/v0.36.1/doc/md032.md",
			"scheme": "https",
			"authority": "github.com"
		}
	},
	"severity": 4,
	"message": "MD032/blanks-around-lists: Lists should be surrounded by blank lines",
	"source": "markdownlint",
	"startLineNumber": 23,
	"startColumn": 1,
	"endLineNumber": 23,
	"endColumn": 55
},{
	"resource": "/Users/admin/cursor/write-a-book/agent_directives.md",
	"owner": "markdownlint",
	"code": {
		"value": "MD022",
		"target": {
			"$mid": 1,
			"path": "/DavidAnson/markdownlint/blob/v0.36.1/doc/md022.md",
			"scheme": "https",
			"authority": "github.com"
		}
	},
	"severity": 4,
	"message": "MD022/blanks-around-headings: Headings should be surrounded by blank lines [Expected: 1; Actual: 0; Above]",
	"source": "markdownlint",
	"startLineNumber": 24,
	"startColumn": 1,
	"endLineNumber": 24,
	"endColumn": 16
},{
	"resource": "/Users/admin/cursor/write-a-book/agent_directives.md",
	"owner": "markdownlint",
	"code": {
		"value": "MD022",
		"target": {
			"$mid": 1,
			"path": "/DavidAnson/markdownlint/blob/v0.36.1/doc/md022.md",
